Grades,Gender,Subject,Class,Exam term,Student_id,First name,Last name,Email,Age,Attendance,Midterm exam,Final term exam,Total score,Family income
C,Female,Math,10-B,Final,1028,Gloria,Howell,cdickerson@mccullough-gregory.net,16,81%,32,42,74,"₹70,000"
C+,Female,History,10-C,Final,1029,Charles,Conley,ashleycook@rojas-zuniga.com,17,75%,46,34,80,"₹80,000"
C,Male,Math,10-A,Midterm,1030,Rachel,Green,wbeck@gmail.com,14,75%,45,24,69,"₹30,000"
C+,Male,Math,10-C,Midterm,1031,Bradley,Duncan,coltonbenson@owens.com,14,91%,24,29,53,"₹80,000"
C,Male,Geography,10-C,Final,1032,Kristen,Rose,angela93@martin-warren.org,18,90%,36,47,83,"₹30,000"
A,Male,Geography,10-C,Midterm,1033,Mark,Austin,tpierce@gmail.com,14,77%,46,40,86,"₹60,000"
A,Male,History,10-C,Final,1034,Belinda,Evans,rebeccahubbard@martinez.com,13,87%,34,26,60,"₹20,000"
A-,Female,Geography,10-B,Midterm,1035,Carolyn,Booth,bwatson@phillips.com,18,97%,45,37,82,"₹30,000"
A-,Male,History,10-B,Midterm,1036,John,Martinez,elevine@vega.com,18,93%,31,50,81,"₹30,000"
C+,Female,Geography,10-A,Midterm,1037,Timothy,Morris,phillipsrobert@yahoo.com,18,90%,47,35,82,"₹50,000"
B,Male,Science,10-C,Final,1038,Amber,Serrano,seangarrison@gray-roberts.com,13,94%,49,49,98,"₹60,000"
B+,Male,Geography,10-A,Midterm,1039,Kevin,Johnson,rodriguezsusan@gmail.com,18,92%,30,22,52,"₹50,000"
B,Female,Math,10-A,Midterm,1040,Robert,Smith,michael38@foster-bowman.org,17,88%,35,34,69,"₹20,000"
A,Male,Science,10-A,Final,1041,Brittany,Mathis,franciscogreer@gmail.com,15,85%,48,22,70,"₹40,000"
C,Female,English,10-A,Final,1042,Tyler,Nicholson,phillipsrichard@martin.net,15,85%,22,47,69,"₹40,000"
A,Female,Science,10-A,Midterm,1043,Courtney,Carroll,alan61@hotmail.com,13,81%,25,36,61,"₹30,000"
B,Female,History,10-A,Final,1044,Kevin,Gutierrez,tkirby@gmail.com,15,91%,44,46,90,"₹80,000"
B+,Male,Science,10-A,Midterm,1045,Kimberly,Jones,elizabethrodriguez@yahoo.com,14,92%,37,39,76,"₹50,000"
B+,Female,Math,10-A,Midterm,1046,Tina,Smith,cconner@jenkins.com,16,80%,34,41,75,"₹50,000"
A-,Male,History,10-B,Final,1047,William,Dawson,ypeterson@yahoo.com,15,92%,31,25,56,"₹20,000"
C,Female,Science,10-A,Midterm,1048,Gregory,Cooper,kari10@yahoo.com,15,75%,49,35,84,"₹40,000"
C,Female,Math,10-C,Final,1049,Jessica,Montgomery,zhangjustin@charles-park.net,16,79%,20,45,65,"₹60,000"
C+,Male,Math,10-B,Midterm,1050,Jeffery,Lee,haynesashley@gmail.com,15,96%,24,49,73,"₹70,000"
A,Male,Science,10-A,Midterm,1051,Heather,Cochran,rickyharris@gmail.com,15,95%,48,36,84,"₹20,000"
B+,Male,Science,10-A,Midterm,1052,Charles,Castro,benjaminacosta@yahoo.com,17,86%,26,47,73,"₹80,000"
C,Female,Geography,10-C,Midterm,1053,Jacqueline,Lamb,jacksonrita@gmail.com,17,88%,42,33,75,"₹20,000"
A,Female,Geography,10-A,Final,1054,Brooke,Jefferson,meghan38@ramirez.com,17,93%,21,43,64,"₹30,000"
C,Female,History,10-A,Midterm,1055,Nathan,Nguyen,ashley27@hotmail.com,15,88%,36,36,72,"₹50,000"
C,Female,Science,10-A,Midterm,1056,Danny,Peters,melissa09@yahoo.com,13,83%,36,30,66,"₹40,000"
C,Male,English,10-C,Final,1057,Noah,Perry,jthompson@howard-stewart.net,13,75%,20,46,66,"₹40,000"
C,Female,Math,10-B,Midterm,1058,Katrina,Hart,ywebb@yahoo.com,14,98%,33,40,73,"₹20,000"
B,Male,Geography,10-C,Midterm,1059,Ernest,Moore,diane26@stone.com,15,91%,45,49,94,"₹70,000"
C+,Female,Science,10-C,Final,1060,Jacob,Spencer,cjones@smith.com,18,87%,36,40,76,"₹40,000"
A-,Male,English,10-B,Final,1061,Susan,Adkins,troy51@collins-vasquez.biz,18,97%,32,43,75,"₹50,000"
A,Female,Math,10-A,Midterm,1062,James,Spencer,jjohnson@gmail.com,13,88%,23,49,72,"₹60,000"
B+,Female,Geography,10-C,Final,1063,Amanda,Berger,richdawn@johnson.info,15,97%,20,22,42,"₹30,000"
C,Male,Geography,10-A,Midterm,1064,Brianna,Johnson,jessicajones@hotmail.com,14,98%,38,27,65,"₹50,000"
B,Male,English,10-C,Midterm,1065,Lauren,Booth,lindsay40@yahoo.com,18,87%,33,27,60,"₹40,000"
C+,Female,English,10-B,Midterm,1066,Michele,Thomas,bergerjennifer@hotmail.com,16,83%,31,25,56,"₹80,000"
C+,Female,English,10-C,Final,1067,Stacy,Jones,fwilliams@donovan-harper.biz,13,89%,36,25,61,"₹60,000"
C,Male,English,10-A,Final,1068,Christopher,Perry,christopher94@gmail.com,13,75%,43,29,72,"₹80,000"
B,Female,Math,10-B,Final,1069,Ryan,Morgan,vazquezmichael@williams.com,14,75%,22,37,59,"₹70,000"
C+,Male,Science,10-B,Midterm,1070,Heather,Dodson,richard41@hicks.com,18,86%,42,49,91,"₹40,000"
A,Female,Math,10-A,Midterm,1071,Steven,Villanueva,cobbpatrick@hotmail.com,18,76%,21,46,67,"₹40,000"
A,Male,English,10-C,Final,1072,Tim,Johnson,greenelisa@collins.com,13,78%,38,38,76,"₹40,000"
C+,Female,Geography,10-C,Midterm,1073,Brandon,Garcia,reedstacy@hotmail.com,17,76%,20,44,64,"₹40,000"
A,Female,Geography,10-B,Midterm,1074,Jeffrey,Matthews,crystalsmith@house-morse.biz,18,84%,31,28,59,"₹30,000"
B,Female,Math,10-A,Final,1075,Edward,Craig,john69@gmail.com,17,86%,38,38,76,"₹70,000"
A,Male,Geography,10-C,Midterm,1076,Anthony,Schwartz,hayesalex@gmail.com,18,93%,27,31,58,"₹60,000"
B+,Male,Science,10-A,Final,1077,Amber,Anderson,jennasmith@gmail.com,18,85%,43,41,84,"₹80,000"
B,Male,History,10-A,Final,1078,Raymond,Ruiz,davidgoodwin@barton.info,18,77%,47,24,71,"₹40,000"
C,Female,Geography,10-C,Final,1079,Jason,Walters,debrajackson@johnson.net,17,82%,22,20,42,"₹40,000"
C+,Male,Science,10-B,Final,1080,Mark,Gibson,nicholsjasmine@gmail.com,17,100%,37,31,68,"₹70,000"
B,Female,History,10-B,Final,1081,Leah,Woods,pjackson@carson.com,13,93%,34,46,80,"₹50,000"
A-,Female,Geography,10-B,Final,1082,Jeffrey,Patel,ronald14@taylor.com,13,100%,26,40,66,"₹70,000"
A-,Female,Geography,10-A,Final,1083,Matthew,Mcguire,bradshawtanya@johnston.com,17,99%,45,50,95,"₹30,000"
C,Male,Science,10-A,Final,1084,Teresa,Singh,cartermichael@clark.com,13,96%,48,27,75,"₹80,000"
A,Male,Math,10-C,Final,1085,Eric,Ross,amanda81@walton.com,14,96%,48,36,84,"₹20,000"
A,Male,Science,10-B,Final,1086,Alejandro,Mendoza,nosborn@hotmail.com,17,89%,30,21,51,"₹80,000"
C,Male,Geography,10-B,Final,1087,Anthony,Walker,daguirre@flynn-fleming.com,13,97%,34,36,70,"₹80,000"
B+,Female,English,10-A,Final,1088,Karen,Wood,eric02@gmail.com,18,81%,44,43,87,"₹20,000"
B+,Female,Geography,10-B,Final,1089,Tiffany,Holmes,steven02@hotmail.com,13,99%,39,34,73,"₹30,000"
C+,Female,English,10-A,Midterm,1090,Sonya,Hess,robertmelendez@hotmail.com,14,76%,21,42,63,"₹40,000"
A-,Male,English,10-B,Final,1091,Melanie,Cox,colinreynolds@payne.net,14,83%,20,36,56,"₹40,000"
A-,Female,English,10-B,Midterm,1092,Wendy,Solis,erin14@gmail.com,16,86%,37,26,63,"₹20,000"
A-,Female,Geography,10-C,Midterm,1093,Nicole,Stephenson,maryingram@ramirez.com,15,92%,31,50,81,"₹40,000"
C,Female,Science,10-B,Midterm,1094,Samantha,Moore,barry10@hotmail.com,15,79%,24,25,49,"₹40,000"
A-,Female,English,10-C,Midterm,1095,Andrew,Richards,emathis@scott.net,15,86%,44,43,87,"₹60,000"
B,Female,Math,10-C,Final,1096,Robin,Stephens,obarry@yahoo.com,18,80%,28,43,71,"₹50,000"
A,Male,History,10-B,Final,1097,Jeffrey,Gray,mrice@mccarthy.com,18,81%,20,20,40,"₹30,000"
A-,Female,History,10-B,Midterm,1098,Samuel,Martin,owilliams@brooks.com,15,77%,49,31,80,"₹50,000"
A,Male,Geography,10-C,Final,1099,Debbie,Navarro,jessechristensen@scott-taylor.info,14,96%,30,36,66,"₹50,000"
A-,Female,Math,10-A,Final,1100,Heather,Green,jacquelinegrant@hotmail.com,16,80%,50,46,96,"₹30,000"
C+,Male,Science,10-A,Final,1101,Joseph,Wheeler,matthewbutler@marshall.com,18,88%,49,30,79,"₹50,000"
C+,Male,Math,10-B,Midterm,1102,Bryan,Brennan,brittanypayne@simmons.com,13,89%,25,42,67,"₹20,000"
A,Female,Science,10-C,Final,1103,Charles,Salazar,okeller@case-adams.com,13,92%,49,43,92,"₹70,000"
B+,Female,Science,10-B,Midterm,1104,Amanda,Robinson,erinsandoval@andrews.net,13,95%,45,30,75,"₹50,000"
A-,Male,Math,10-B,Final,1105,Christopher,Nelson,timothy53@yahoo.com,17,78%,24,45,69,"₹40,000"
B,Female,Math,10-C,Final,1106,Joshua,Arias,rosslauren@yahoo.com,13,92%,44,47,91,"₹20,000"
A-,Male,English,10-C,Final,1107,Paul,Munoz,wolfalexandra@gmail.com,13,83%,24,27,51,"₹30,000"
B,Female,Math,10-A,Final,1108,Jason,Estrada,cynthia77@hotmail.com,14,85%,37,23,60,"₹80,000"
B,Female,History,10-A,Final,1109,Dustin,Hendrix,vkaiser@hotmail.com,16,78%,21,40,61,"₹60,000"
B+,Male,Geography,10-A,Midterm,1110,Sarah,Copeland,freyallison@yahoo.com,13,94%,47,29,76,"₹60,000"
C+,Female,Science,10-B,Final,1111,Andrea,Morgan,khawkins@hotmail.com,13,87%,41,36,77,"₹40,000"
A,Female,Geography,10-A,Midterm,1112,Lisa,Mclean,dfleming@anderson.com,15,98%,25,44,69,"₹20,000"
A-,Male,English,10-B,Final,1113,Deanna,Pineda,janet11@johnson-robertson.com,16,80%,30,43,73,"₹40,000"
A,Male,Math,10-B,Final,1114,Eric,Webb,melissagarcia@yahoo.com,16,99%,45,49,94,"₹40,000"
A-,Male,History,10-C,Midterm,1115,Andrew,Rowland,jeffrey52@summers.com,15,100%,40,23,63,"₹20,000"
A-,Male,History,10-B,Midterm,1116,Leroy,Whitaker,rwang@zuniga-taylor.org,18,92%,22,38,60,"₹30,000"
B,Male,Science,10-C,Midterm,1117,Lauren,Nielsen,ortegachristina@wolfe.com,13,91%,21,39,60,"₹30,000"
C,Male,English,10-B,Final,1118,Todd,Williams,davistina@hernandez-james.com,15,90%,30,49,79,"₹20,000"
C,Male,English,10-A,Midterm,1119,Bethany,Jackson,woodsjacob@hotmail.com,13,85%,38,31,69,"₹40,000"
A,Female,Math,10-B,Final,1120,Kathy,Campos,qthompson@gmail.com,18,85%,21,34,55,"₹40,000"
C,Male,Science,10-C,Midterm,1121,Melissa,Evans,kayla26@hotmail.com,17,77%,21,33,54,"₹20,000"
C,Female,Geography,10-B,Final,1122,Bryan,Brown,weissmatthew@yahoo.com,17,82%,31,47,78,"₹60,000"
C+,Female,Geography,10-C,Midterm,1123,Sarah,Sharp,thompsonsamuel@patton.info,14,93%,28,46,74,"₹20,000"
A-,Male,Geography,10-B,Midterm,1124,Ryan,Patterson,brian53@cook.com,17,100%,39,36,75,"₹50,000"
C+,Male,English,10-B,Midterm,1125,Derrick,Lewis,johnsonkaren@yahoo.com,14,94%,36,27,63,"₹80,000"
B+,Female,Science,10-C,Midterm,1126,Michael,Best,oscott@carter-blackburn.com,16,85%,42,26,68,"₹80,000"
C,Female,Geography,10-C,Final,1127,Katherine,Williams,victoria26@taylor.com,13,76%,27,34,61,"₹40,000"
B,Male,Geography,10-B,Final,1128,Paula,Williams,kennethchandler@gmail.com,15,79%,20,20,40,"₹80,000"
A,Male,English,10-C,Midterm,1129,Daniel,Andrade,fitzgeralddesiree@velasquez.com,18,100%,22,48,70,"₹20,000"
A-,Female,History,10-C,Midterm,1130,James,Shaw,rbrown@hoffman.com,13,90%,36,26,62,"₹30,000"
A-,Male,Math,10-B,Midterm,1131,Stephen,Lopez,kbrown@casey-scott.com,14,94%,47,23,70,"₹30,000"
A-,Male,English,10-B,Midterm,1132,Cody,Mills,martinezamy@kline-reyes.com,17,78%,49,47,96,"₹40,000"
C+,Female,English,10-B,Midterm,1133,Joseph,Gardner,duarteadrienne@yahoo.com,14,95%,35,48,83,"₹80,000"
C+,Male,Science,10-C,Midterm,1134,Carol,Rollins,adam03@gmail.com,14,75%,26,26,52,"₹40,000"
B,Female,Science,10-A,Midterm,1135,Arthur,Schultz,hpatel@gmail.com,13,100%,28,35,63,"₹70,000"
C,Female,English,10-A,Midterm,1136,Michael,Bass,jill26@hurst-campos.com,18,99%,26,35,61,"₹80,000"
B+,Female,Science,10-B,Final,1137,Michael,Bryant,amurphy@perez.org,17,90%,23,49,72,"₹40,000"
C,Male,History,10-A,Midterm,1138,John,Fuller,michaellopez@gmail.com,18,97%,21,22,43,"₹80,000"
B+,Female,Geography,10-A,Midterm,1139,Christine,Allen,meganthompson@hotmail.com,14,75%,26,31,57,"₹70,000"
B,Female,Geography,10-B,Final,1140,Melissa,Velazquez,jeffreyfloyd@yahoo.com,14,81%,23,26,49,"₹40,000"
C,Female,Geography,10-A,Midterm,1141,Joseph,Pearson,daniel92@briggs.com,14,88%,37,29,66,"₹20,000"
C+,Female,Math,10-B,Midterm,1142,Michael,Green,qjenkins@gmail.com,15,90%,48,35,83,"₹80,000"
B,Male,English,10-B,Final,1143,Christine,Hayes,holderrobert@hotmail.com,17,86%,48,21,69,"₹50,000"
C,Male,History,10-A,Final,1144,Kevin,Keller,fharmon@colon-guerrero.com,17,98%,37,47,84,"₹20,000"
A-,Female,Geography,10-B,Midterm,1145,Lorraine,Matthews,jared80@bentley-dixon.biz,14,86%,45,32,77,"₹70,000"
A-,Male,Geography,10-C,Midterm,1146,Kathleen,Jones,christopher96@sanders-gordon.info,17,80%,46,20,66,"₹80,000"
B+,Female,Geography,10-B,Final,1147,Jonathan,Kaiser,brian00@yahoo.com,17,83%,31,45,76,"₹50,000"
C+,Male,Science,10-A,Final,1148,Samuel,Butler,parkerpaul@hotmail.com,18,84%,27,36,63,"₹80,000"
C+,Female,English,10-A,Midterm,1149,Mary,Peterson,gonzalezmelissa@rich.com,16,84%,33,32,65,"₹20,000"
C+,Male,Math,10-C,Final,1150,Anthony,Miller,urodriguez@hotmail.com,17,78%,40,48,88,"₹30,000"
B+,Female,History,10-B,Midterm,1151,Denise,Freeman,jamesbarnes@perez.com,18,86%,49,43,92,"₹50,000"
B,Male,Geography,10-B,Midterm,1152,Marissa,Jones,donaldalvarado@stanley.com,13,98%,42,30,72,"₹20,000"
C,Female,English,10-C,Final,1153,Mary,Chandler,stephanie94@scott-campbell.com,16,96%,40,28,68,"₹50,000"
A-,Male,Math,10-C,Midterm,1154,Juan,Ross,jordan94@carroll-smith.com,17,92%,31,43,74,"₹60,000"
C,Female,Science,10-C,Midterm,1155,Stephanie,Anderson,katherinemartinez@king-sutton.info,18,84%,30,37,67,"₹70,000"
A-,Male,English,10-C,Midterm,1156,Michael,Powers,frenchbrittany@scott.biz,13,87%,38,27,65,"₹80,000"
B,Female,Science,10-A,Final,1157,Crystal,Landry,johnsonlawrence@hotmail.com,16,89%,43,43,86,"₹60,000"
C,Female,English,10-B,Final,1158,Jason,Price,joshuamarquez@yahoo.com,15,98%,50,38,88,"₹50,000"
B,Female,Science,10-A,Final,1159,Wendy,Kelley,james08@yahoo.com,14,90%,35,39,74,"₹60,000"
A-,Female,Math,10-B,Final,1160,Peter,Rowe,athompson@miller-singh.com,15,86%,23,26,49,"₹60,000"
C+,Male,Math,10-A,Final,1161,James,Phelps,margarethuang@hotmail.com,14,97%,40,30,70,"₹30,000"
C,Male,Math,10-B,Final,1162,Peter,Brooks,brandonbenson@hotmail.com,15,95%,49,24,73,"₹50,000"
C+,Male,Science,10-A,Final,1163,Jennifer,Miller,gregorykevin@gmail.com,13,87%,20,41,61,"₹20,000"
A,Male,English,10-A,Final,1164,Patrick,Ross,wrightjacob@mason.biz,17,91%,39,32,71,"₹70,000"
C+,Male,English,10-C,Midterm,1165,David,Clark,josecarpenter@miller-kline.com,13,90%,25,49,74,"₹60,000"
A-,Female,English,10-C,Midterm,1166,Tina,Sexton,amoyer@gmail.com,16,75%,26,29,55,"₹20,000"
A-,Female,Geography,10-A,Final,1167,Andrew,Rice,erin37@hotmail.com,15,79%,38,26,64,"₹60,000"
A,Male,English,10-A,Final,1168,Wesley,Taylor,briancastro@gmail.com,14,82%,42,35,77,"₹80,000"
B,Female,Science,10-C,Final,1169,Veronica,Guerrero,coreysmith@hotmail.com,16,85%,41,28,69,"₹70,000"
C,Female,Math,10-C,Midterm,1170,Manuel,Black,acastro@perkins-riley.com,15,77%,26,42,68,"₹80,000"
B+,Male,History,10-C,Final,1171,Courtney,West,ssoto@johnson-franklin.com,13,78%,26,23,49,"₹80,000"
A-,Male,Geography,10-C,Midterm,1172,Lisa,Evans,edwin19@hotmail.com,14,100%,42,42,84,"₹70,000"
B,Male,Math,10-B,Midterm,1173,Vanessa,French,eric89@dickerson-davidson.com,15,100%,38,34,72,"₹20,000"
C,Male,Math,10-B,Midterm,1174,Cassandra,Ferrell,kaylaalexander@yahoo.com,17,100%,20,36,56,"₹70,000"
B+,Female,Math,10-B,Final,1175,Antonio,Hodges,bridgeslynn@yahoo.com,14,79%,20,41,61,"₹50,000"
A,Female,History,10-A,Midterm,1176,Kayla,Sutton,xgray@roberts-williams.info,18,86%,32,24,56,"₹60,000"
C+,Female,Geography,10-B,Final,1177,Darren,Ross,cindyroth@gmail.com,15,75%,28,39,67,"₹60,000"
A,Male,Science,10-B,Final,1178,Ryan,Washington,sara49@yahoo.com,17,78%,30,49,79,"₹50,000"
A,Male,Math,10-B,Midterm,1179,Angela,Salazar,jeremynicholson@chung.org,15,83%,49,35,84,"₹60,000"
C,Male,Geography,10-C,Midterm,1180,Megan,Davis,rogersgregg@duke.biz,14,88%,34,38,72,"₹70,000"
A,Female,English,10-C,Midterm,1181,Ruth,Edwards,schmidtjenny@sellers.biz,15,82%,21,42,63,"₹40,000"
A-,Male,History,10-A,Final,1182,Scott,Gordon,steeletheresa@hotmail.com,15,97%,34,48,82,"₹50,000"
B+,Female,English,10-A,Midterm,1183,Scott,Wang,xsmith@gmail.com,16,76%,21,49,70,"₹60,000"
B,Male,Geography,10-B,Final,1184,James,Burton,aaron10@gmail.com,13,89%,35,42,77,"₹30,000"
B,Male,Geography,10-C,Midterm,1185,Carol,Blankenship,jonesgregory@gmail.com,18,96%,39,40,79,"₹60,000"
A-,Male,Math,10-B,Final,1186,Megan,Harvey,donnawatkins@martin-russell.com,13,87%,25,36,61,"₹40,000"
C,Female,History,10-A,Final,1187,Mark,Wade,joseph44@duncan.com,16,100%,23,24,47,"₹60,000"
B,Male,History,10-C,Final,1188,Ashley,Gibson,kenneth13@gmail.com,17,84%,21,37,58,"₹60,000"
C,Male,Geography,10-B,Midterm,1189,Michelle,Yu,dvance@gmail.com,18,77%,43,49,92,"₹60,000"
B+,Male,Science,10-C,Midterm,1190,Alexander,Paul,mmartinez@donaldson-lewis.net,17,95%,24,31,55,"₹20,000"
B,Female,Science,10-A,Final,1191,Madison,Oliver,denise36@gmail.com,14,76%,49,32,81,"₹20,000"
A-,Female,Science,10-B,Final,1192,Justin,Coleman,osmith@yahoo.com,14,81%,27,24,51,"₹20,000"
B+,Male,History,10-A,Midterm,1193,Christopher,Martinez,qlynn@smith.com,18,76%,20,47,67,"₹70,000"
B,Male,Geography,10-A,Midterm,1194,Sandra,Scott,sotokathleen@gmail.com,18,100%,47,24,71,"₹60,000"
A,Female,History,10-C,Midterm,1195,Christopher,Stein,jennifer72@rodriguez-schroeder.biz,17,95%,26,20,46,"₹80,000"
A-,Male,Science,10-C,Midterm,1196,Trevor,Zamora,shaun67@yahoo.com,15,80%,25,31,56,"₹50,000"
A,Male,Science,10-A,Final,1197,Dawn,Sandoval,kylepalmer@murray-kirk.info,18,96%,25,26,51,"₹20,000"
A,Female,History,10-A,Final,1198,Barbara,Williams,ghowell@jennings.org,17,94%,24,50,74,"₹60,000"
B,Male,Math,10-A,Final,1199,Tara,Miles,nhughes@barnes-prince.com,16,88%,50,24,74,"₹60,000"
A-,Female,English,10-C,Final,1200,Alexander,Davis,alvarezmelissa@hotmail.com,18,82%,21,30,51,"₹40,000"
C+,Female,Math,10-A,Final,1201,Brandon,Greene,rogersmartha@hotmail.com,14,92%,43,47,90,"₹70,000"
A,Male,Science,10-B,Final,1202,Anita,Martin,katherinenunez@gmail.com,16,97%,35,30,65,"₹80,000"
B,Male,English,10-B,Final,1203,Alexis,Morris,benjaminhill@weeks-robinson.com,14,80%,24,43,67,"₹20,000"
C+,Female,Math,10-C,Final,1204,Kimberly,Martin,mhines@hotmail.com,15,95%,31,24,55,"₹30,000"
A-,Female,Math,10-C,Final,1205,Carmen,Mathis,pamela53@robinson.info,13,83%,32,23,55,"₹80,000"
A,Male,Science,10-B,Midterm,1206,Christopher,Wallace,anthony83@bell-moore.com,16,87%,25,46,71,"₹20,000"
A,Female,Science,10-A,Final,1207,Scott,Mcdowell,egonzalez@berry.com,14,90%,20,30,50,"₹40,000"
B,Female,Geography,10-C,Midterm,1208,Timothy,Cox,benjamin00@gonzalez-harper.com,16,82%,46,26,72,"₹60,000"
B+,Male,English,10-B,Final,1209,Kelly,West,frank02@gmail.com,16,88%,49,24,73,"₹40,000"
A,Female,Math,10-C,Midterm,1210,Denise,Mcgee,lgonzalez@gardner-collier.com,14,80%,21,34,55,"₹30,000"
C+,Male,History,10-C,Final,1211,Robert,Curtis,hopkinsdesiree@hotmail.com,16,91%,41,24,65,"₹40,000"
A,Female,Science,10-C,Final,1212,Caitlin,Estrada,langstacy@good.info,18,82%,40,42,82,"₹80,000"
A-,Female,English,10-A,Midterm,1213,Christina,Hurst,amy14@buchanan.com,13,88%,43,32,75,"₹80,000"
A,Female,Geography,10-C,Final,1214,Steven,Martinez,lowekendra@hotmail.com,15,93%,45,23,68,"₹50,000"
A-,Female,Geography,10-C,Final,1215,Jill,Williams,michellepaul@porter-morris.com,14,98%,34,40,74,"₹70,000"
A-,Female,Math,10-C,Final,1216,Eric,Mccann,tstanton@yahoo.com,16,82%,25,25,50,"₹40,000"
A,Female,Math,10-B,Final,1217,Danielle,Patterson,monroejesus@hotmail.com,14,84%,22,34,56,"₹40,000"
A-,Female,Math,10-C,Midterm,1218,Maria,Camacho,sheila83@yahoo.com,15,88%,22,23,45,"₹70,000"
C+,Male,Science,10-C,Midterm,1219,Peter,Pearson,jamiemurphy@gmail.com,16,82%,24,37,61,"₹50,000"
A,Female,Science,10-B,Final,1220,Jared,Smith,johnsonashley@carrillo.net,17,82%,33,38,71,"₹50,000"
A-,Female,English,10-B,Final,1221,Savannah,Brewer,matthew24@castro.com,16,75%,21,24,45,"₹30,000"
C+,Female,Geography,10-A,Final,1222,Jennifer,Meadows,taylortyler@hotmail.com,18,88%,31,25,56,"₹70,000"
A,Male,Geography,10-B,Final,1223,Sarah,Sexton,ryan01@yahoo.com,15,83%,38,33,71,"₹40,000"
C+,Male,Math,10-B,Midterm,1224,Elaine,Stewart,debrahuang@hanson-smith.com,15,99%,28,30,58,"₹60,000"
A,Male,English,10-A,Midterm,1225,Robert,Thomas,fdavis@mclaughlin.com,13,79%,35,40,75,"₹20,000"
A,Female,English,10-A,Final,1226,Julie,Stewart,barrymichael@yahoo.com,15,79%,37,34,71,"₹20,000"
A,Female,History,10-C,Final,1227,Kevin,Ellison,novaktracy@kline-dyer.com,15,79%,20,22,42,"₹80,000"
A-,Female,Geography,10-A,Final,1228,Laura,Hoffman,stricklandkristina@perez.com,13,75%,45,45,90,"₹50,000"
A-,Female,Science,10-B,Final,1229,Dan,Baker,rebekah46@olson.com,15,84%,35,24,59,"₹70,000"
